店名,地區,地址,電話,ID,類別
Tea Hub,長沙灣,順寧道439號順寧居地下2號舖,23377278,121,Cafe
COFFEE matters,深水埗,基隆街170號地舖,55359339,122,Cafe
程班長台灣美食,荔枝角,長沙灣道883號億利工業中心1樓102室,25761199,123,台式
Mother Of Pizzas,銅鑼灣,禮頓道13-19號地舖,28912221,124,西式
四喜麵包西餅,長沙灣,青山道500號百美工業大廈地下B6-8號舖,3957 0883,125,餅店
六両三,尖沙咀,宜昌街3號地下,34622140,126,台式
唇茶,旺角,彌敦道688號旺角中心2樓SB06號舖,51183708,127,飲品
唇茶,尖沙咀,堪富利士道8A地舖,55484470 (WhatsApp),128,飲品
Oyster To Go,尖沙咀,山林道6號地舖,22658133,129,西式
麵匠風龍,灣仔,軒尼詩道184號地下,39054839,130,日式
富記麵家,灣仔,灣仔道177-179號保和大廈地下6號舖,36899515,131,港式/ 茶餐廳
隱啡,屯門,青山公路新墟段109號好運洋樓地下6號舖,64901236,132,Cafe
秘 Secret Chefs,荃灣,享成街22號地舖,23509177,133,日式
POP Vegan,中環,蘇豪伊利近街28號1樓,26286211,134,素食
順逆珈琲酒館,上環,荷李活道192號地下A舖,54004236,135,Cafe
綠野林．生．活．素餐廳,尖沙咀,加拿分道2號13樓,34282416,136,素食
常嚐素,屯門,井財街青棉徑5號金寶大廈地下7D號舖,34880072,137,素食
素食主意,北角,電氣道254-280號華凱大廈A座6號舖,28817996,138,素食
RETOLD coffee.tea.spirits,荃灣,白田壩街45號南豐紗廠1樓102號舖,57416102,139,Cafe
望月,葵涌,工業街10-14號華發工業大廈後座16樓5號室,23867666,140,餅店
珍煮丹,銅鑼灣,利園山道15號地舖,28951600,141,飲品
峯日式料理,觀塘,駿業街67號熟食市場1樓46號舖,54288748,142,日式
茶.原點,土瓜灣,馬頭圍道111號地下D號舖,26031711,143,飲品
TakEateasy X FirsTeǎ,大埔,寶湖道3號寶湖商場2樓227F號舖,69292609,144,飲品
渣哥一九九六,東涌,港鐵東涌站TUC15號舖,N/A,145,小食
渣哥一九九六,銅鑼灣,渣甸街30號B舖地下,N/A,146,小食
深深甜品,深水埗,桂林街46號恆安樓地下C舖,N/A,147,甜品
新東王,馬鞍山,鞍誠街8號MOSTown Street新港城中心大街(3期)地下G3/02B號舖,34829908,148,台式
WOFT,旺角,染布房街7-8D地下,21161786 66817376 (WhatsApp),149,西式
榕記車仔麵,將軍澳,寶琳貿業路8號新都城中心3期21號地舖,23889939,150,港式/ 茶餐廳
花斑茶社,西環,堅尼地城士美菲路45-51號Smithfield Walk地下5B號舖,68091309,151,飲品
古月,北角,錦屏街後街29號A舖地下,35684530,152,星馬菜
酒盗Shuto,北角,錦屏街23號地下A舖,27770688,153,日式
Cozy Cafe,葵涌,打磚坪街1-25號寶星中心地下5號舖,23522933,154,Cafe
開利小食,土瓜灣,銀漢街21-39號地下D舖,68415532,155,小食
壹壹冰室,紅磡,崇潔街28號地下,64269997,156,港式/ 茶餐廳
小果籽,紅磡,崇潔街40號地舖,36861016,157,Cafe
Hero's Friday,荔枝角,青山道489號香港工業中心A座地下A5C號舖,63415319,158,Cafe
嚐糖,旺角,廣華街13號廣輝大廈3號舖,68864122,159,甜品
嚐糖,將軍澳,寶盈花園商場地下S1B舖,34833410,160,甜品
嚐糖,新蒲崗,彩虹道242號采頤花園商場地下G321舖,66335275,161,甜品
威威小食,旺角,登打士街43號B地舖,96097985,162,小食
金祥排骨麵,西環,西營盤德輔道西316號地下C舖,28576738,163,港式/ 茶餐廳
活一鮮,西環,石塘咀皇后大道西503號地下,21684428,164,日式
活一鮮,北角,錦屏街21號東發大廈A座地下,34811928,165,日式
黃金雞,筲箕灣,海利街6號海利大廈地舖,97656029,166,泰式
FavTea,土瓜灣,馬頭圍馬頭角道4號,57071812,167,飲品
都市空間,土瓜灣,美景街47號B地下,25226300,168,小食
點茶,土瓜灣,北帝街12-14號地下A號舖,53333096,169,飲品
孖寶小館,上水,新成路109號地下,25398208,170,中式
Homy Cafe,上水,新祥街21號地下,54086449,171,Cafe
咖啡焢,屯門,新安街18號怡華工業大廈7樓A1室,95064021,172,Cafe
西麵,屯門,屯利街1號華都商場地下60號舖,39973827,173,西式
花火洋食,屯門,龍門路54號屯門高爾夫球中心餐廳,91406130,174,Cafe
芝味屋,屯門,豐安街2號翠寧花園地下19號舖,54204977,175,小食
漢堡博士,屯門,青柏徑6號鹿苑14號舖,5222 8178,176,西式
嘆甜品,屯門,井財街15號金銘大廈地下4號舖,36896865,177,甜品
BYOB Coffee Roaster,屯門,青桃徑5號文翔大廈地下2A號舖,23001163,178,Cafe
TOOLSS,石硤尾,偉智街38號福田大廈地舖,39545135,179,Cafe
